sequence_id,tof_prop_missing,gesture,pred_imu,pred_all
SEQ_029596,0.0,Forehead - scratch,Cheek - pinch skin,Eyebrow - pull hair
SEQ_029611,0.0,Above ear - pull hair,Neck - pinch skin,Cheek - pinch skin
SEQ_029616,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_029624,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_029639,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_029650,0.0,Eyelash - pull hair,Forehead - pull hairline,Eyebrow - pull hair
SEQ_029656,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_029680,0.0,Wave hello,Wave hello,Wave hello
SEQ_029693,1.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_029708,0.2,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_029719,0.0,Cheek - pinch skin,Eyelash - pull hair,Eyelash - pull hair
SEQ_029721,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_029722,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_029725,0.0,Above ear - pull hair,Cheek - pinch skin,Above ear - pull hair
SEQ_029728,0.0,Wave hello,Wave hello,Wave hello
SEQ_029730,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_029731,0.0,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline
SEQ_029736,0.0,Eyebrow - pull hair,Cheek - pinch skin,Eyebrow - pull hair
SEQ_029741,0.0,Cheek - pinch skin,Pinch knee/leg skin,Cheek - pinch skin
SEQ_029753,0.0,Wave hello,Wave hello,Wave hello
SEQ_029759,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_029766,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_029775,0.0,Neck - scratch,Neck - pinch skin,Eyelash - pull hair
SEQ_029798,0.0,Text on phone,Text on phone,Text on phone
SEQ_029799,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_029800,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_029802,0.0,Write name in air,Write name in air,Write name in air
SEQ_029806,0.0,Forehead - scratch,Forehead - scratch,Eyelash - pull hair
SEQ_029827,0.0,Above ear - pull hair,Neck - pinch skin,Neck - pinch skin
SEQ_029845,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_029854,0.0,Write name in air,Write name in air,Write name in air
SEQ_029856,0.0,Wave hello,Wave hello,Wave hello
SEQ_029861,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_029863,0.0,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_029883,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_029894,0.2,Text on phone,Text on phone,Forehead - scratch
SEQ_029898,0.0,Eyebrow - pull hair,Cheek - pinch skin,Eyebrow - pull hair
SEQ_029902,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_029924,0.0,Cheek - pinch skin,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_029927,0.0,Neck - scratch,Cheek - pinch skin,Cheek - pinch skin
SEQ_029931,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_029939,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_029943,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_029944,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_029945,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_029947,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_029951,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_029952,0.0,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin
SEQ_029954,0.0,Wave hello,Wave hello,Wave hello
SEQ_029958,0.2,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_029986,0.0,Cheek - pinch skin,Eyelash - pull hair,Eyelash - pull hair
SEQ_030010,0.0,Forehead - scratch,Eyelash - pull hair,Eyebrow - pull hair
SEQ_030013,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_030032,0.0,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline
SEQ_030041,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_030043,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_030046,0.0,Text on phone,Text on phone,Text on phone
SEQ_030067,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_030072,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_030073,0.0,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin
SEQ_030085,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_030086,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_030098,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_030103,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_030106,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_030107,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_030108,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_030113,0.0,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline
SEQ_030119,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_030125,0.0,Write name in air,Write name in air,Write name in air
SEQ_030128,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_030132,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_030135,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_030142,0.0,Forehead - pull hairline,Forehead - scratch,Forehead - pull hairline
SEQ_030149,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_030156,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_030164,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_030165,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_030172,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_030197,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_030198,0.0,Write name in air,Write name in air,Write name in air
SEQ_030221,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_030225,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_030262,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_030264,0.0,Neck - pinch skin,Eyelash - pull hair,Eyelash - pull hair
SEQ_030267,0.0,Above ear - pull hair,Above ear - pull hair,Eyebrow - pull hair
SEQ_030275,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_030279,0.0,Write name in air,Write name in air,Write name in air
SEQ_030291,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_030299,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_030305,0.0,Text on phone,Text on phone,Text on phone
SEQ_030322,0.0,Neck - scratch,Forehead - scratch,Eyebrow - pull hair
SEQ_030324,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_030330,0.0,Text on phone,Text on phone,Text on phone
SEQ_030337,0.0,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin
SEQ_030341,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_030344,0.0,Eyelash - pull hair,Forehead - pull hairline,Eyebrow - pull hair
SEQ_030349,0.0,Write name in air,Write name in air,Write name in air
SEQ_030378,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_030382,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_030385,0.0,Text on phone,Text on phone,Text on phone
SEQ_030389,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_030394,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_030406,0.0,Text on phone,Text on phone,Text on phone
SEQ_030412,0.0,Neck - pinch skin,Above ear - pull hair,Neck - pinch skin
SEQ_030416,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_030424,0.2,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_030429,0.0,Eyebrow - pull hair,Neck - pinch skin,Eyebrow - pull hair
SEQ_030437,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_030451,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_030452,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_030466,0.0,Wave hello,Wave hello,Wave hello
SEQ_030472,0.0,Forehead - scratch,Write name in air,Neck - scratch
SEQ_030485,0.0,Cheek - pinch skin,Cheek - pinch skin,Eyelash - pull hair
SEQ_030490,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_030513,0.0,Write name in air,Write name in air,Write name in air
SEQ_030520,0.0,Write name in air,Write name in air,Write name in air
SEQ_030521,0.0,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin
SEQ_030528,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_030538,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_030540,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_030541,0.0,Cheek - pinch skin,Neck - pinch skin,Eyelash - pull hair
SEQ_030547,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_030552,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_030561,0.0,Write name in air,Write name in air,Write name in air
SEQ_030562,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_030577,0.0,Wave hello,Wave hello,Wave hello
SEQ_030584,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_030590,0.0,Neck - scratch,Above ear - pull hair,Neck - pinch skin
SEQ_030594,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_030597,0.0,Forehead - pull hairline,Pull air toward your face,Pull air toward your face
SEQ_030602,0.0,Cheek - pinch skin,Neck - pinch skin,Eyebrow - pull hair
SEQ_030604,0.0,Forehead - pull hairline,Eyebrow - pull hair,Forehead - pull hairline
SEQ_030616,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_030617,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyebrow - pull hair
SEQ_030622,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_030623,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_030626,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_030632,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_030634,0.0,Cheek - pinch skin,Neck - pinch skin,Cheek - pinch skin
SEQ_030650,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_030652,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_030654,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_030681,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_030693,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_030722,0.0,Write name in air,Write name in air,Write name in air
SEQ_030723,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_030724,0.0,Cheek - pinch skin,Neck - pinch skin,Cheek - pinch skin
SEQ_030737,0.0,Cheek - pinch skin,Neck - scratch,Neck - pinch skin
SEQ_030739,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_030755,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_030756,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_030760,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_030766,0.0,Neck - scratch,Neck - pinch skin,Neck - pinch skin
SEQ_030769,0.0,Wave hello,Wave hello,Wave hello
SEQ_030773,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_030784,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_030786,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_030790,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_030833,0.0,Wave hello,Wave hello,Wave hello
SEQ_030834,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_030841,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_030855,0.0,Write name in air,Write name in air,Write name in air
SEQ_030857,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_030859,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_030867,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_030876,0.0,Neck - scratch,Neck - pinch skin,Cheek - pinch skin
SEQ_030878,0.0,Write name in air,Write name in air,Write name in air
SEQ_030885,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_030890,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_030901,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_030918,0.0,Eyebrow - pull hair,Neck - pinch skin,Eyebrow - pull hair
SEQ_030921,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_030922,0.0,Write name in air,Write name in air,Write name in air
SEQ_030926,0.0,Neck - pinch skin,Neck - pinch skin,Eyelash - pull hair
SEQ_030950,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_030952,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_030955,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_030963,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_030968,0.0,Forehead - pull hairline,Forehead - scratch,Forehead - pull hairline
SEQ_030989,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_030992,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_030998,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_031003,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - scratch
SEQ_031007,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031013,0.2,Pull air toward your face,Feel around in tray and pull out an object,Pull air toward your face
SEQ_031018,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_031028,0.0,Cheek - pinch skin,Neck - pinch skin,Cheek - pinch skin
SEQ_031038,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031039,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_031041,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_031049,0.2,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_031073,0.0,Text on phone,Text on phone,Text on phone
SEQ_031094,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_031095,0.0,Forehead - pull hairline,Forehead - scratch,Forehead - pull hairline
SEQ_031098,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031126,0.0,Text on phone,Text on phone,Text on phone
SEQ_031127,0.0,Text on phone,Text on phone,Text on phone
SEQ_031128,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_031134,0.0,Write name in air,Write name in air,Write name in air
SEQ_031135,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031138,0.0,Cheek - pinch skin,Neck - pinch skin,Cheek - pinch skin
SEQ_031140,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_031142,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_031145,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031174,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_031176,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_031177,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_031178,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031189,0.0,Above ear - pull hair,Above ear - pull hair,Glasses on/off
SEQ_031199,0.0,Neck - scratch,Neck - pinch skin,Neck - pinch skin
SEQ_031204,0.0,Eyebrow - pull hair,Cheek - pinch skin,Cheek - pinch skin
SEQ_031216,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031219,0.0,Forehead - pull hairline,Forehead - pull hairline,Cheek - pinch skin
SEQ_031220,0.0,Neck - scratch,Glasses on/off,Glasses on/off
SEQ_031222,0.0,Wave hello,Wave hello,Wave hello
SEQ_031228,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031233,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_031234,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_031254,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_031270,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_031279,0.0,Wave hello,Wave hello,Wave hello
SEQ_031285,0.0,Text on phone,Text on phone,Text on phone
SEQ_031286,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_031290,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_031293,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_031305,0.0,Text on phone,Text on phone,Text on phone
SEQ_031317,0.0,Forehead - pull hairline,Neck - scratch,Forehead - pull hairline
SEQ_031318,0.0,Cheek - pinch skin,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_031321,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031330,0.0,Text on phone,Text on phone,Text on phone
SEQ_031331,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_031340,0.0,Cheek - pinch skin,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_031349,0.0,Neck - pinch skin,Above ear - pull hair,Neck - scratch
SEQ_031373,0.0,Wave hello,Wave hello,Wave hello
SEQ_031376,0.0,Forehead - scratch,Forehead - pull hairline,Forehead - pull hairline
SEQ_031379,0.0,Wave hello,Wave hello,Wave hello
SEQ_031380,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031398,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_031408,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_031423,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Scratch knee/leg skin
SEQ_031424,0.0,Wave hello,Wave hello,Wave hello
SEQ_031434,0.0,Text on phone,Text on phone,Text on phone
SEQ_031438,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_031446,0.0,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin
SEQ_031451,0.0,Text on phone,Text on phone,Text on phone
SEQ_031458,0.0,Wave hello,Wave hello,Wave hello
SEQ_031469,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_031472,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_031486,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_031497,0.0,Neck - pinch skin,Above ear - pull hair,Above ear - pull hair
SEQ_031508,0.0,Text on phone,Text on phone,Text on phone
SEQ_031519,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_031530,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_031537,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_031542,0.0,Neck - scratch,Neck - pinch skin,Cheek - pinch skin
SEQ_031543,0.0,Neck - pinch skin,Neck - scratch,Neck - pinch skin
SEQ_031545,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_031552,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_031561,0.0,Text on phone,Text on phone,Text on phone
SEQ_031563,0.0,Text on phone,Text on phone,Text on phone
SEQ_031573,0.2,Eyebrow - pull hair,Forehead - scratch,Forehead - scratch
SEQ_031577,0.0,Write name in air,Pull air toward your face,Write name in air
SEQ_031585,0.0,Eyebrow - pull hair,Eyelash - pull hair,Forehead - scratch
SEQ_031592,0.0,Text on phone,Text on phone,Text on phone
SEQ_031611,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_031646,0.0,Neck - pinch skin,Above ear - pull hair,Neck - pinch skin
SEQ_031647,0.0,Wave hello,Wave hello,Wave hello
SEQ_031672,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_031678,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_031684,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031687,0.0,Text on phone,Text on phone,Text on phone
SEQ_031688,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_031695,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_031723,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_031725,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_031732,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_031735,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_031750,0.0,Wave hello,Wave hello,Wave hello
SEQ_031752,0.2,Neck - pinch skin,Neck - pinch skin,Eyelash - pull hair
SEQ_031754,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_031758,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_031767,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_031776,0.0,Above ear - pull hair,Cheek - pinch skin,Forehead - scratch
SEQ_031801,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_031824,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_031827,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_031830,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_031842,0.0,Neck - scratch,Neck - scratch,Write name in air
SEQ_031863,0.0,Eyelash - pull hair,Cheek - pinch skin,Cheek - pinch skin
SEQ_031875,0.0,Neck - pinch skin,Forehead - pull hairline,Cheek - pinch skin
SEQ_031885,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_031908,0.0,Above ear - pull hair,Cheek - pinch skin,Neck - pinch skin
SEQ_031913,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_031916,0.0,Text on phone,Text on phone,Text on phone
SEQ_031925,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_031933,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_031940,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_031941,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_031945,0.0,Write name in air,Write name in air,Write name in air
SEQ_031964,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_031965,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_031971,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_031976,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_031979,0.0,Above ear - pull hair,Cheek - pinch skin,Cheek - pinch skin
SEQ_031984,0.2,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_031992,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_031994,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_032001,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_032003,0.0,Wave hello,Wave hello,Wave hello
SEQ_032005,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_032021,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_032029,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_032031,0.2,Forehead - pull hairline,Forehead - scratch,Forehead - scratch
SEQ_032041,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_032044,0.2,Eyebrow - pull hair,Forehead - scratch,Text on phone
SEQ_032053,0.0,Write name in air,Write name in air,Write name in air
SEQ_032055,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_032064,0.0,Text on phone,Text on phone,Text on phone
SEQ_032068,0.0,Above ear - pull hair,Neck - scratch,Above ear - pull hair
SEQ_032079,0.0,Cheek - pinch skin,Above ear - pull hair,Cheek - pinch skin
SEQ_032083,0.0,Wave hello,Wave hello,Wave hello
SEQ_032085,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_032091,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_032093,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_032095,0.0,Text on phone,Text on phone,Text on phone
SEQ_032101,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_032105,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_032108,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_032114,0.0,Text on phone,Text on phone,Text on phone
SEQ_032132,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_032135,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_032153,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_032161,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_032167,0.0,Eyelash - pull hair,Forehead - scratch,Eyebrow - pull hair
SEQ_032173,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_032175,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_032194,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_032196,0.0,Eyebrow - pull hair,Neck - pinch skin,Cheek - pinch skin
SEQ_032197,0.0,Text on phone,Text on phone,Text on phone
SEQ_032214,0.0,Cheek - pinch skin,Above ear - pull hair,Cheek - pinch skin
SEQ_032218,0.0,Neck - scratch,Above ear - pull hair,Neck - scratch
SEQ_032235,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_032238,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
